Ticker symbol,Security,GICS Sector,GICS Sub Industry,start at yahoo
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
UDR,UDR Inc,Real Estate,Residential REITs,1980-03-17 00:00:00
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,2007-10-25 00:00:00
USB,U.S. Bancorp,Financials,Diversified Banks,1973-05-03 00:00:00
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2015-07-01 00:00:00
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2005-11-18 00:00:00
UNP,Union Pacific,Industrials,Railroads,1980-01-02 00:00:00
UAL,United Continental Holdings,Industrials,Airlines,2006-02-06 00:00:00
UNH,United Health Group Inc.,Health Care,Managed Health Care,1984-10-17 00:00:00
UPS,United Parcel Service,Industrials,Air Freight & Logistics,1999-11-10 00:00:00
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,1997-12-18 00:00:00
UTX,United Technologies,Industrials,Aerospace & Defense,1970-01-02 00:00:00
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,1981-07-09 00:00:00
UNM,Unum Group,Financials,Life & Health Insurance,1986-11-06 00:00:00
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1980-03-17 00:00:00
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,1982-01-04 00:00:00
VAR,Varian Medical Systems,Health Care,Health Care Equipment,1980-03-17 00:00:00
VTR,Ventas Inc,Real Estate,Health Care REITs,1997-05-05 00:00:00
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,1998-01-30 00:00:00
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2009-10-07 00:00:00
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,1983-11-21 00:00:00
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,1991-07-24 00:00:00
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite,2005-12-05 00:00:00
V,Visa Inc.,Information Technology,Internet Software & Services,2008-03-19 00:00:00
VNO,Vornado Realty Trust,Real Estate,Office REITs,1980-03-17 00:00:00
VMC,Vulcan Materials,Materials,Construction Materials,1980-03-17 00:00:00
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,1972-08-25 00:00:00
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1980-03-17 00:00:00
DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,1962-01-02 00:00:00
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,1988-06-22 00:00:00
WAT,Waters Corporation,Health Care,Health Care Distributors,1995-11-17 00:00:00
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,1980-03-17 00:00:00
WFC,Wells Fargo,Financials,Diversified Banks,1972-06-01 00:00:00
HCN,Welltower Inc.,Real Estate,Health Care REITs,1980-03-19 00:00:00
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",1980-03-17 00:00:00
WU,Western Union Co,Information Technology,Internet Software & Services,2006-10-02 00:00:00
WRK,WestRock Company,Materials,Paper Packaging,2015-06-24 00:00:00
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs,1973-05-03 00:00:00
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,1980-03-17 00:00:00
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,1981-12-31 00:00:00
WLTW,Willis Towers Watson,Financials,Insurance Brokers,2001-06-12 00:00:00
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2006-07-19 00:00:00
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2002-10-25 00:00:00
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,1980-03-17 00:00:00
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals",1977-01-03 00:00:00
XLNX,Xilinx Inc,Information Technology,Semiconductors,1990-06-12 00:00:00
XL,XL Capital,Financials,Property & Casualty Insurance,1991-07-19 00:00:00
XYL,Xylem Inc.,Industrials,Industrial Machinery,2011-10-13 00:00:00
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-09-17 00:00:00
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,2001-07-25 00:00:00
ZION,Zions Bancorp,Financials,Regional Banks,1980-03-17 00:00:00
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-02-01 00:00:00
